Name                                                    Stmts   Miss  Cover   Missing
src/llm/rag_system/task_management.py                     193    126    35%   15, 23-26, 30-32, 36-38, 42-43, 47-48, 52-55, 59-61, 65-74, 78, 131-134, 138-145, 149, 153-170, 174-175, 179-183, 187-191, 195-211, 215-219, 223-233, 237-242, 246, 250-251, 255, 259-262, 266-269, 273-277, 281-301
src/llm/rag_system/utils.py                               112     88    21%   16-17, 43-58, 62-74, 83-97, 101-105, 109-118, 137-193, 197-209
src/llm/rag_system/whole_genome_reader.py                 188    141    25%   73-74, 87-155, 165-228, 242-245, 270-294, 300-312, 322-340, 360-453
src/llm/repair_types.py                                    41      5    88%   33-34, 48-49, 62
src/llm/task_repair_agent.py                              166    148    11%   28-33, 46-73, 78-97, 107-133, 145-175, 186-208, 220-234, 245-261, 280-399, 411-417, 428
src/tests/__init__.py                                       0      0   100%
src/tests/conftest.py                                      53     27    49%   16-18, 24, 36-72, 78, 103, 125, 156, 183, 220-221, 228-241
src/tests/debug/test_ko_protein_lookup.py                  77     69    10%   19-152, 155
src/tests/debug/test_pathway_discovery.py                  50     43    14%   18-85, 88
src/tests/demo/__init__.py                                  0      0   100%
src/tests/demo/test_agentic_demo.py                        76     72     5%   11-137
src/tests/demo/test_agentic_validation.py                 224    200    11%   40-41, 45-54, 58-136, 140-219, 223-294, 298-382, 386-477, 481-596, 600-642, 646-663, 666
src/tests/demo/test_code_interpreter_integration.py        90     74    18%   20, 24-25, 29-37, 41-106, 110-225, 229-388, 392-458, 462-480, 483
src/tests/demo/test_pathway_based_discovery.py             77     62    19%   23-45, 49-68, 72-110, 114-144, 148-164, 167
src/tests/demo/test_protein_id_fix.py                      44     35    20%   23-104, 108, 111
src/tests/demo/test_template_resolution.py                 62     49    21%   22-90, 94-117, 121-134, 137
src/tests/llm/test_task_repair_agent.py                   111     86    23%   18, 22-24, 28-38, 42-51, 55-64, 68-73, 77-85, 89-97, 101-107, 111-121, 125-131, 139, 143-149, 153-157, 166-181, 185-194
src/tests/streaming/test_streamer.py                      118     94    20%   27-29, 33-34, 48-75, 79-85, 89-94, 99-123, 128-141, 149-172, 181-193, 201-223, 228-246, 250-259, 264
